Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
haircare,SKU0,69.808006,55,802,8661.996792,Non-binary,58,7,96,4,Carrier B,2.956572,Supplier 3,Mumbai,29,215,29,46.279879,Pending,0.22641,Road,Route B,187.752075
skincare,SKU1,14.843523,95,736,7460.900065,Female,53,30,37,2,Carrier A,9.716575,Supplier 3,Mumbai,23,517,30,33.616769,Pending,4.854068,Road,Route B,503.065579
haircare,SKU2,11.319683,34,8,9577.749626,Unknown,1,10,88,2,Carrier B,8.054479,Supplier 1,Mumbai,12,971,27,30.688019,Pending,4.580593,Air,Route C,141.920282
skincare,SKU3,61.163343,68,83,7766.836426,Non-binary,23,13,59,6,Carrier C,1.729569,Supplier 5,Kolkata,24,937,18,35.624741,Fail,4.746649,Rail,Route A,254.776159
skincare,SKU4,4.805496,26,871,2686.505152,Non-binary,5,3,56,8,Carrier A,3.890548,Supplier 1,Delhi,5,414,3,92.065161,Fail,3.14558,Air,Route A,923.440632
haircare,SKU5,1.699976,87,147,2828.348746,Non-binary,90,27,66,3,Carrier B,4.444099,Supplier 4,Bangalore,10,104,17,56.766476,Fail,2.779194,Road,Route A,235.461237
skincare,SKU6,4.078333,48,65,7823.47656,Male,11,15,58,8,Carrier C,3.880763,Supplier 3,Kolkata,14,314,24,1.085069,Pending,1.000911,Sea,Route A,134.369097
cosmetics,SKU7,42.958384,59,426,8496.103813,Female,93,17,11,1,Carrier B,2.348339,Supplier 4,Bangalore,22,564,1,99.466109,Fail,0.398177,Road,Route C,802.056312
cosmetics,SKU8,68.717597,78,150,7517.363211,Female,5,10,15,7,Carrier C,3.404734,Supplier 4,Mumbai,13,769,8,11.423027,Pending,2.709863,Sea,Route B,505.557134
skincare,SKU9,64.015733,35,980,4971.145988,Unknown,14,27,83,1,Carrier A,7.166645,Supplier 2,Chennai,29,963,23,47.957602,Pending,3.844614,Rail,Route B,995.929461
skincare,SKU10,15.707796,11,996,2330.965802,Non-binary,51,13,80,2,Carrier C,8.673211,Supplier 5,Kolkata,18,830,5,96.527353,Pass,1.727314,Road,Route B,806.103178
skincare,SKU11,90.63546,95,960,6099.944116,Female,46,23,60,1,Carrier A,4.523943,Supplier 2,Kolkata,28,362,11,27.592363,Pending,0.02117,Air,Route A,126.723033
haircare,SKU12,71.213389,41,336,2873.741446,Unknown,100,30,85,4,Carrier A,1.325274,Supplier 4,Kolkata,3,563,3,32.321286,Fail,2.161254,Road,Route B,402.968789
skincare,SKU13,16.160393,5,249,4052.738416,Male,80,8,48,9,Carrier A,9.537283,Supplier 5,Bangalore,23,173,10,97.82905,Pending,1.631074,Road,Route B,547.241005
skincare,SKU14,99.171329,26,562,8653.570926,Non-binary,54,29,78,5,Carrier B,2.03977,Supplier 1,Kolkata,25,558,14,5.791437,Pending,0.100683,Air,Route B,929.23529
skincare,SKU15,36.989245,94,469,5442.086785,Non-binary,9,8,69,7,Carrier B,2.42204,Supplier 1,Bangalore,14,580,7,97.121282,Pass,2.264406,Sea,Route B,127.8618
